"tract","Name","Household_Income_rP_gP_p75"
36081099705,"Queens County, NY",69083
36059408400,"Merrick, NY",69065
34003013001,"Edgewater, NJ",69055
36059407900,"East Meadow, NY",69026
36119002201,"Northeast Yonkers, Yonkers, NY",69023
36059411400,"Woodmere, NY",69017
36081063301,"Queens County, NY",68999
36059302600,"Floral Park, NY",68990
36119006802,"New Rochelle, NY",68975
36059410700,"Valley Stream, NY",68965
36081065703,"Queens County, NY",68936
36047061600,"Kings County, NY",68931
36059407801,"Westbury, NY",68924
36081018502,"Queens County, NY",68896
36059412302,"Rockville Centre, NY",68876
36081070700,"Queens County, NY",68858
36059301200,"Port Washington, NY",68854
36103146902,"West Islip, NY",68851
36103112103,"Commack, NY",68834
36081074900,"Queens County, NY",68831
36103123600,"Amityville, NY",68732
36081072300,"Queens County, NY",68729
36103112210,"Dix Hills, NY",68708
36047064200,"Kings County, NY",68705
36059520402,"Farmingdale, NY",68646
36119002300,"Dunwoodie, Yonkers, NY",68619
36081024500,"Queens County, NY",68592
36119007600,"Rye, NY",68583
36119006801,"Scarsdale, NY",68568
36059301500,"Plandome, NY",68567
36081094500,"Queens County, NY",68557
36081060100,"Queens County, NY",68556
36103134902,"Smithtown, NY",68546
36059416100,"Seaford, NY",68537
36047056800,"Kings County, NY",68514
36081016100,"Queens County, NY",68486
36047037401,"Kings County, NY",68481
36059522700,"Seaford, NY",68467
36047075200,"Kings County, NY",68459
36081127700,"Queens County, NY",68421
36005031400,"Bronx County, NY",68412
36081145101,"Queens County, NY",68401
36081092900,"Queens County, NY",68392
34003041302,"Palisades Park, NJ",68386
36061006000,"Midtown, New York, NY",68373
36059412000,"Lynbrook, NY",68368
36059519200,"Hicksville, Hicksville, NY",68354
36059410200,"Malverne, NY",68348
36081013700,"Queens County, NY",68339
36081138501,"Queens County, NY",68293
36081152901,"Queens County, NY",68250
36081092200,"Queens County, NY",68246
36059303201,"Garden City Park, NY",68226
36047025800,"Kings County, NY",68219
36059300300,"Great Neck, NY",68196
36081067700,"Queens County, NY",68190
36103134903,"Smithtown, NY",68183
34003009100,"Demarest, NJ",68170
36059521902,"Massapequa, NY",68148
36119002000,"Northeast Yonkers, Yonkers, NY",68115
36059521601,"Massapequa Park, NY",68102
36103112213,"Dix Hills, NY",68091
36119002101,"Northeast Yonkers, Yonkers, NY",68089
36081064101,"Queens County, NY",68073
36103111402,"Huntington Station, NY",68068
36081133300,"Queens County, NY",68059
36103111801,"Elwood, NY",68057
36059405500,"Franklin Square, NY",68002
34003007001,"Closter, NJ",68002
36047030200,"Kings County, NY",67998
36047055000,"Kings County, NY",67986
36081143500,"Queens County, NY",67984
36059409700,"North Wantagh, Wantagh, NY",67981
36081069500,"Queens County, NY",67967
36047055800,"Kings County, NY",67898
36059416201,"Island Park, NY",67879
36059521500,"Massapequa Park, NY",67868
36059517901,"Bayville, NY",67791
36047036002,"Kings County, NY",67744
36059519000,"Hicksville, Levittown, NY",67685
36059414800,"North Bellmore, NY",67652
34003007002,"Closter, NJ",67649
34003008000,"Cresskill, NJ",67648
36005011800,"Bronx County, NY",67644
36103110502,"Greenlawn, NY",67635
36103110501,"Centerport, NY",67600
36081084602,"Queens County, NY",67598
36059520502,"South Farmingdale, NY",67591
36119002105,"Beech Hill, Scarsdale, NY",67588
34003002300,"Norwood, NJ",67584
36103134703,"Northport, NY",67578
36059409300,"Levittown, NY",67563
34003019304,"Fort Lee, NJ",67535
36103110801,"Northport, NY",67508
36047065600,"Kings County, NY",67498
36081052500,"Queens County, NY",67478
36059520700,"Massapequa, NY",67466
36059413300,"Oceanside, NY",67464
36081130100,"Queens County, NY",67453
36081072100,"Queens County, NY",67442
36081139900,"Queens County, NY",67428
36103111804,"Commack, NY",67381
34003055200,"Tenafly, NJ",67378
36059517000,"Glen Cove, NY",67363
36059408500,"North Bellmore, NY",67360
36047029000,"Kings County, NY",67359
36059411301,"Valley Stream, NY",67351
36059415300,"Bellmore, NY",67336
36103112102,"Dix Hills, NY",67251
36081102900,"Queens County, NY",67237
36059517400,"Sea Cliff, NY",67210
36081104700,"Queens County, NY",67201
36103111703,"East Northport, NY",67188
36119009703,"White Plains, NY",67159
36059404500,"Floral Park, NY",67145
