tract,Name,City,State,Household_Income_rP_gP_p25
24510000000,Pigtown, Baltimore, MD,18850
24510000000,East Baltimore Midway, Baltimore, MD,18844
24510000000,Oliver, Baltimore, MD,18835
24510000000,Madison - Eastend, Baltimore, MD,18810
24510000000,Gay Street, Baltimore, MD,18807
24510000000,Broadway East, Baltimore, MD,18770
24510000000,Westport, Baltimore, MD,18573
24510000000,Berea, Baltimore, MD,18557
24510000000,Lexington, Baltimore, MD,18502
24510000000,Cherry Hill, Baltimore, MD,18415
24510000000,Shipley Hill, Baltimore, MD,18371
24510000000,Pleasant View Gardens, Baltimore, MD,18247
24510000000,Patterson Park, Baltimore, MD,18239
24510000000,Druid Heights, Baltimore, MD,18178
24510000000,Franklin Square, Baltimore, MD,18005
24510000000,Downtown, Baltimore, MD,17893
24510000000,Sandtown-Winchester, Baltimore, MD,17497
24510000000,Broadway East, Baltimore, MD,17249
24510000000,Reservoir Hill, Baltimore, MD,17236
24510000000,Poppleton, Baltimore, MD,17003
24510000000,Milton - Montford, Baltimore, MD,16683
24510000000,Johnson Square, Baltimore, MD,16364
24510000000,Penn - Fallsway, Baltimore, MD,
24510000000,Cross Keys, Baltimore, MD,
